date,seberang perai tengah,timur laut,seberang perai selatan,barat daya,seberang perai utara
18/4/2020,3,5,0,4,2
19/4/2020,3,5,0,4,2
20/4/2020,3,5,0,4,2
21/4/2020,3,4,0,4,2
22/4/2020,3,4,0,4,2
23/4/2020,3,4,0,4,2
24/4/2020,3,4,0,4,2
25/4/2020,3,4,0,4,2
26/4/2020,3,4,0,4,2
27/4/2020,1,1,0,3,3
28/4/2020,1,0,0,2,2
29/4/2020,1,0,0,1,2
30/4/2020,1,0,0,1,0
1/5/2020,1,0,0,1,0
2/5/2020,1,0,0,1,0
3/5/2020,1,0,0,1,0
4/5/2020,1,0,0,1,0
5/5/2020,0,0,0,0,0
6/5/2020,0,0,0,0,0
7/5/2020,0,0,0,0,0
8/5/2020,0,0,0,0,0
9/5/2020,0,0,0,0,0
10/5/2020,0,0,0,0,0
11/5/2020,0,0,0,0,0
12/5/2020,0,0,0,0,0
13/5/2020,0,0,0,0,0
14/5/2020,0,0,0,0,0
15/5/2020,0,0,0,0,0
16/5/2020,0,0,0,0,0
17/5/2020,0,0,0,0,0
18/5/2020,0,0,0,0,0
19/5/2020,0,0,0,0,0
20/5/2020,0,0,0,0,0
21/5/2020,0,0,0,0,0
22/5/2020,0,0,0,0,0
23/5/2020,0,0,0,0,0
24/5/2020,0,0,0,0,0
25/5/2020,0,0,0,0,0
26/5/2020,0,0,0,0,0
27/5/2020,0,0,0,0,0
28/5/2020,0,0,0,0,0
29/5/2020,0,0,0,0,0
30/5/2020,0,0,0,0,0
31/5/2020,0,0,0,0,0
1/6/2020,0,0,0,0,0
2/6/2020,0,0,0,0,0
3/6/2020,0,0,0,0,0
4/6/2020,0,0,0,0,0
5/6/2020,0,0,0,0,0
6/6/2020,0,0,0,0,0
7/6/2020,0,0,0,0,0
8/6/2020,0,0,0,0,0
9/6/2020,0,0,0,0,0
10/6/2020,0,0,0,0,0
11/6/2020,0,0,0,0,0
12/6/2020,0,0,0,0,0
13/6/2020,0,0,0,0,0
14/6/2020,0,0,0,0,0
15/6/2020,0,0,0,0,0
16/6/2020,0,0,0,0,0
17/6/2020,0,0,0,0,0
18/6/2020,0,0,0,0,0
19/6/2020,0,0,0,0,0
20/6/2020,0,0,0,0,0
21/6/2020,0,0,0,0,0
22/6/2020,0,0,0,0,0
23/6/2020,0,0,0,0,0
24/6/2020,0,0,0,0,0
25/6/2020,0,0,0,0,0
26/6/2020,0,0,0,0,0
27/6/2020,0,0,0,0,0
28/6/2020,0,0,0,0,0
29/6/2020,0,0,0,0,0
30/6/2020,0,0,0,0,0
1/7/2020,0,0,0,0,0
2/7/2020,0,0,0,0,0
3/7/2020,0,0,0,0,0
4/7/2020,0,0,0,0,0
5/7/2020,0,0,0,0,0
6/7/2020,0,0,0,0,0
7/7/2020,0,0,0,0,0
8/7/2020,0,0,0,0,0
9/7/2020,0,0,0,0,0
10/7/2020,0,0,0,0,0
11/7/2020,0,0,0,0,0
12/7/2020,0,0,0,0,0
13/7/2020,0,0,0,0,0
14/7/2020,0,0,0,0,0
15/7/2020,0,0,0,0,0
16/7/2020,0,0,0,0,0
17/7/2020,0,0,0,0,0
18/7/2020,0,0,0,0,0
19/7/2020,0,0,0,0,0
20/7/2020,0,0,0,0,0
21/7/2020,0,0,0,0,0
22/7/2020,0,0,0,0,0
23/7/2020,0,0,0,0,0
24/7/2020,0,0,0,0,0
25/7/2020,0,0,0,0,0
26/7/2020,0,0,0,0,0
27/7/2020,0,0,0,0,0
28/7/2020,0,0,0,0,0
29/7/2020,0,0,0,0,0
30/7/2020,0,0,0,0,0
31/7/2020,0,0,0,0,0
1/8/2020,0,0,0,0,0
2/8/2020,0,0,0,0,0
3/8/2020,0,0,0,0,0
4/8/2020,0,0,0,0,0
5/8/2020,0,0,0,0,0
6/8/2020,0,0,0,0,0
7/8/2020,0,0,0,0,0
8/8/2020,2,0,0,0,0
9/8/2020,2,0,0,0,0
10/8/2020,2,0,0,0,0
11/8/2020,2,0,0,0,0
12/8/2020,2,0,0,0,0
13/8/2020,2,0,0,1,0
14/8/2020,2,2,0,1,0
15/8/2020,2,2,0,1,1
16/8/2020,2,5,0,1,1
17/8/2020,2,5,0,1,1
18/8/2020,2,6,0,4,1
19/8/2020,2,6,0,4,1
20/8/2020,2,6,0,4,1
21/8/2020,2,6,0,4,1
22/8/2020,0,6,0,4,1
23/8/2020,0,6,0,4,1
24/8/2020,0,6,0,4,1
25/8/2020,0,6,0,4,1
26/8/2020,0,6,0,4,1
27/8/2020,0,6,0,3,1
28/8/2020,0,4,0,3,1
29/8/2020,0,4,0,3,1
30/8/2020,0,1,0,3,0
31/8/2020,0,1,0,3,0
1/9/2020,0,0,0,0,0
2/9/2020,0,0,0,0,0
3/9/2020,0,0,0,0,0
4/9/2020,0,0,0,0,0
5/9/2020,0,1,0,0,0
6/9/2020,0,1,0,0,0
7/9/2020,0,2,0,0,0
8/9/2020,0,2,0,0,0
9/9/2020,0,2,0,0,0
10/9/2020,0,2,0,0,0
11/9/2020,0,2,0,0,0
12/9/2020,0,2,0,0,0
13/9/2020,0,2,0,0,0
14/9/2020,0,2,0,0,0
15/9/2020,0,2,0,0,0
16/9/2020,0,3,0,0,0
18/9/2020,0,5,0,0,0
19/9/2020,0,5,0,0,0
20/9/2020,0,4,0,1,0
21/9/2020,0,3,0,1,0
22/9/2020,0,3,0,1,0
23/9/2020,0,3,0,1,0
24/9/2020,0,3,0,1,0
25/9/2020,0,3,0,1,0
26/9/2020,0,4,0,1,0
27/9/2020,0,2,0,1,0
28/9/2020,0,2,0,1,0
29/9/2020,0,2,0,1,1
30/9/2020,0,2,1,1,1
1/10/2020,1,2,1,0,1
2/10/2020,1,2,1,0,1
3/10/2020,1,1,2,0,2
4/10/2020,1,1,2,0,3
5/10/2020,1,1,2,0,3
6/10/2020,2,2,2,0,3
7/10/2020,3,8,2,0,3
8/10/2020,3,9,2,0,3
9/10/2020,3,16,3,0,3
10/10/2020,3,18,1,0,2
11/10/2020,3,18,1,0,0
12/10/2020,3,159,1,0,0
13/10/2020,3,177,4,0,2
14/10/2020,3,188,10,0,2
15/10/2020,4,189,24,0,2
16/10/2020,3,216,30,0,2
17/10/2020,4,376,57,0,2
18/10/2020,4,394,78,0,2
19/10/2020,3,342,97,0,9
20/10/2020,4,249,105,0,9
21/10/2020,4,223,114,0,10
22/10/2020,3,210,111,1,8
23/10/2020,2,430,115,1,8
24/10/2020,2,437,127,3,8
25/10/2020,3,297,221,4,8
26/10/2020,4,280,275,6,8
27/10/2020,4,271,270,16,8
28/10/2020,3,282,258,20,9
29/10/2020,4,260,253,26,9
30/10/2020,3,125,229,32,9
31/10/2020,3,102,208,33,9
1/11/2020,5,107,222,35,9
2/11/2020,9,122,213,36,3
3/11/2020,11,126,214,47,3
4/11/2020,11,127,221,51,2
