date,cheras,kepong,lembah pantai,titiwangsa
18/4/2020,49,121,473,84
19/4/2020,49,121,473,84
20/4/2020,49,121,473,84
21/4/2020,43,87,347,58
22/4/2020,43,87,347,58
23/4/2020,43,87,347,58
24/4/2020,43,87,347,58
25/4/2020,43,87,347,58
26/4/2020,43,87,347,58
27/4/2020,33,88,289,60
28/4/2020,33,91,298,62
29/4/2020,27,94,293,62
30/4/2020,20,92,280,55
1/5/2020,18,84,258,74
2/5/2020,14,84,263,82
3/5/2020,14,96,221,95
31/5/2020,327,3,96,3
1/6/2020,327,3,96,3
2/6/2020,314,3,83,3
3/6/2020,314,3,83,3
4/6/2020,314,3,83,3
5/6/2020,578,2,76,2
6/6/2020,578,2,76,2
7/6/2020,578,2,76,2
8/6/2020,578,2,76,2
9/6/2020,578,2,76,2
10/6/2020,578,2,76,2
11/6/2020,578,2,76,2
12/6/2020,578,2,76,2
13/6/2020,578,2,76,2
14/6/2020,336,3,15,3
15/6/2020,334,3,13,3
16/6/2020,333,3,15,3
17/6/2020,278,5,14,3
18/6/2020,9,6,15,3
19/6/2020,8,7,14,3
20/6/2020,7,7,15,2
21/6/2020,6,7,14,2
22/6/2020,6,6,14,2
23/6/2020,6,5,14,2
24/6/2020,6,5,14,2
25/6/2020,2,5,14,1
26/6/2020,2,5,14,1
27/6/2020,2,6,14,2
28/6/2020,2,6,11,2
29/6/2020,2,5,11,2
30/6/2020,2,5,9,2
1/7/2020,2,4,9,2
2/7/2020,0,3,9,2
3/7/2020,0,3,9,2
4/7/2020,0,2,2,3
5/7/2020,0,2,2,3
6/7/2020,0,2,3,3
7/7/2020,1,2,3,3
8/7/2020,1,2,3,3
9/7/2020,1,2,3,3
10/7/2020,3,1,4,3
11/7/2020,3,0,4,1
12/7/2020,3,0,3,1
13/7/2020,3,0,3,1
14/7/2020,3,0,3,1
15/7/2020,3,0,3,1
16/7/2020,3,1,2,1
17/7/2020,3,1,3,1
18/7/2020,3,1,3,0
19/7/2020,3,1,4,0
20/7/2020,3,1,3,0
21/7/2020,2,1,3,0
22/7/2020,2,1,3,1
23/7/2020,2,1,3,1
24/7/2020,0,1,2,3
25/7/2020,0,1,2,3
26/7/2020,1,1,2,3
27/7/2020,1,1,2,3
28/7/2020,1,1,2,3
29/7/2020,1,1,2,3
30/7/2020,1,1,1,3
31/7/2020,1,1,1,3
1/8/2020,1,1,1,3
2/8/2020,1,1,0,3
3/8/2020,1,1,0,3
4/8/2020,1,1,0,3
5/8/2020,1,1,0,2
6/8/2020,1,1,0,2
7/8/2020,1,1,1,1
8/8/2020,0,1,1,1
9/8/2020,0,1,1,1
10/8/2020,0,1,1,1
11/8/2020,3,1,1,1
12/8/2020,3,1,1,1
13/8/2020,3,1,1,2
14/8/2020,3,1,1,2
15/8/2020,5,2,1,2
16/8/2020,5,2,1,4
17/8/2020,5,2,1,4
18/8/2020,5,2,1,4
19/8/2020,5,2,1,4
20/8/2020,5,2,1,3
21/8/2020,5,2,0,4
22/8/2020,5,2,0,4
23/8/2020,5,2,0,4
24/8/2020,5,2,0,4
25/8/2020,2,2,0,4
26/8/2020,2,2,0,4
27/8/2020,2,1,0,3
28/8/2020,2,1,0,3
29/8/2020,0,0,0,3
30/8/2020,0,0,0,3
31/8/2020,0,0,0,1
1/9/2020,0,0,0,1
2/9/2020,0,0,0,1
3/9/2020,0,0,0,1
4/9/2020,0,0,0,0
5/9/2020,0,0,0,0
6/9/2020,0,0,0,0
7/9/2020,0,0,0,0
8/9/2020,0,0,0,0
9/9/2020,0,0,0,0
10/9/2020,0,0,0,0
11/9/2020,0,0,0,0
12/9/2020,0,0,0,0
13/9/2020,0,0,0,0
14/9/2020,0,0,0,0
15/9/2020,0,0,0,0
16/9/2020,0,0,0,0
17/9/2020,0,0,0,0
18/9/2020,0,0,0,0
19/9/2020,0,0,0,0
20/9/2020,0,0,0,0
21/9/2020,0,0,0,0
22/9/2020,0,0,0,0
23/9/2020,0,0,0,0
