date,alor-gajah,jasin,melaka-tengah
24/3/2020,6,15,7
25/3/2020,8,16,7
26/3/2020,8,16,7
27/3/2020,8,16,7
28/3/2020,9,17,16
29/3/2020,9,18,16
30/3/2020,14,18,18
31/3/2020,14,19,19
1/4/2020,18,24,21
2/4/2020,20,28,22
3/4/2020,21,28,24
4/4/2020,21,28,26
5/4/2020,23,38,28
6/4/2020,25,42,32
7/4/2020,25,42,36
8/4/2020,27,53,36
9/4/2020,28,54,37
10/4/2020,28,61,44
11/4/2020,28,67,46
12/4/2020,28,68,48
13/4/2020,28,68,48
14/4/2020,28,68,51
15/4/2020,28,68,51
16/4/2020,28,68,51
17/4/2020,29,68,51
18/4/2020,29,68,51
19/4/2020,29,68,88
20/4/2020,29,69,89
21/4/2020,29,70,89
22/4/2020,29,71,89
23/4/2020,29,71,89
24/4/2020,29,72,91
25/4/2020,29,72,91
26/4/2020,29,72,92
27/4/2020,29,72,92
28/4/2020,29,72,92
29/4/2020,29,72,92
30/4/2020,29,75,91
1/5/2020,23,75,50
2/5/2020,23,75,50
3/5/2020,26,75,52
4/5/2020,26,75,52
5/5/2020,26,75,52
6/5/2020,27,76,52
7/5/2020,27,76,52
8/5/2020,27,76,52
9/5/2020,27,76,52
10/5/2020,28,76,52
11/5/2020,28,76,52
12/5/2020,28,76,53
13/5/2020,30,76,53
14/5/2020,30,76,54
15/5/2020,30,76,54
16/5/2020,30,76,54
17/5/2020,30,76,54
18/5/2020,30,76,54
19/5/2020,30,76,54
20/5/2020,30,76,54
21/5/2020,30,76,54
22/5/2020,30,76,54
23/5/2020,37,76,103
24/5/2020,37,76,103
25/5/2020,37,76,103
26/5/2020,37,76,103
27/5/2020,37,76,103
28/5/2020,37,76,103
29/5/2020,37,76,103
30/5/2020,37,76,105
31/5/2020,37,76,105
